Time,"X, m","Y, m","Z, m","RMS, m",PDOP,TOffset,NumSat
22.5,"2847815,0354","2279684,2570","5214614,1230","2,23950242996216","1,463","124835,343",14
22.6,"2847815,6560","2279684,4658","5214615,1516","2,14771461486816","1,463","124834,167",14
22.7,"2847816,2224","2279684,5042","5214615,3348","2,03899908065796","1,463","124832,815",14
22.8,"2847816,1078","2279684,4112","5214615,5521","1,95263683795929","1,463","124831,227",14
22.9,"2847816,3863","2279685,0397","5214615,9761","1,69376170635223","1,463","124829,853",14
23.0,"2847816,1513","2279685,3640","5214616,3263","1,62476599216461","1,463","124828,536",14
23.1,"2847816,3821","2279685,5011","5214616,3953","1,70533668994904","1,463","124827,020",14
23.2,"2847817,1924","2279685,2817","5214616,5370","1,32747638225555","1,463","124825,368",14
23.3,"2847817,6685","2279685,5003","5214616,9486","1,1520082950592","1,463","124823,911",14
23.4,"2847816,1395","2279685,2844","5214616,5551","1,31671917438507","1,463","124822,331",14
23.5,"2847816,6553","2279685,3176","5214617,0614","1,20328629016876","1,463","124821,143",14
23.6,"2847816,4237","2279684,9573","5214616,7152","1,49297058582306","1,463","124819,554",14
23.7,"2847816,0836","2279685,1545","5214616,8273","1,44228506088257","1,463","124818,167",14
23.8,"2847815,7859","2279685,1313","5214616,8537","1,57726001739502","1,463","124816,626",14
23.9,"2847815,3179","2279685,7710","5214616,8497","1,70449566841126","1,463","124815,172",14
24.0,"2847815,2402","2279685,8486","5214616,9187","1,90305304527283","1,463","124813,503",14
24.1,"2847816,0033","2279685,3762","5214616,3476","1,62948822975159","1,462","124811,609",14
24.2,"2847815,8264","2279685,0789","5214616,0355","1,62310528755188","1,462","124809,737",14
24.3,"2847816,0249","2279685,4578","5214615,9904","1,67397630214691","1,462","124808,587",14
24.4,"2847816,4595","2279685,2008","5214616,6363","1,61861145496368","1,462","124807,107",14
24.5,"2847817,2204","2279684,8973","5214616,6181","1,34899854660034","1,462","124805,449",14
24.6,"2847816,5665","2279684,9352","5214615,9941","1,57772994041443","1,462","124803,750",14
24.7,"2847815,5213","2279685,2303","5214616,1543","1,49188446998596","1,462","124802,236",14
24.8,"2847815,2476","2279685,1690","5214616,0311","1,43388700485229","1,462","124800,779",14
24.9,"2847814,9952","2279684,9724","5214615,7599","1,59022009372711","1,462","124799,152",14
25.0,"2847815,0596","2279684,8206","5214615,5426","1,70437741279602","1,462","124797,564",14
25.1,"2847814,5915","2279685,2842","5214615,4896","1,54540956020355","1,462","124795,879",14
25.2,"2847815,0021","2279685,5138","5214615,2249","1,65760064125061","1,462","124794,638",14
25.3,"2847814,5607","2279685,8375","5214615,1949","1,62914705276489","1,462","124793,342",14
25.4,"2847814,1278","2279686,2774","5214615,5566","1,78950476646423","1,462","124792,073",14
25.5,"2847814,8695","2279685,6166","5214615,4175","1,62125885486603","1,462","124790,287",14
25.6,"2847815,8840","2279685,7986","5214615,5420","1,69833254814148","1,462","124788,834",14
25.7,"2847816,0930","2279685,4732","5214615,2264","1,71477651596069","1,462","124787,253",14
25.8,"2847815,7156","2279685,2942","5214615,6803","1,59210360050201","1,462","124785,763",14
25.9,"2847815,6311","2279685,2986","5214615,6026","1,49266541004181","1,462","124784,316",14
26.0,"2847814,9722","2279685,9784","5214615,8742","1,46718490123749","1,462","124783,091",14
26.1,"2847815,9948","2279686,2030","5214616,5612","1,586669921875","1,462","124782,045",14
26.2,"2847816,6092","2279686,3033","5214616,5339","1,76580619812012","1,462","124780,760",14
26.3,"2847817,2357","2279685,8830","5214617,0937","1,76933526992798","1,462","124779,046",14
26.4,"2847817,0696","2279685,6249","5214616,4028","1,98855423927307","1,462","124777,144",14
26.5,"2847817,1778","2279685,5238","5214616,1955","1,97472178936005","1,462","124775,475",14
26.6,"2847816,4654","2279685,3907","5214615,6251","2,28221368789673","1,462","124773,821",14
26.7,"2847816,5351","2279685,5025","5214615,8326","2,0942211151123","1,462","124772,562",14
26.8,"2847816,6523","2279685,3775","5214616,5287","2,20937418937683","1,462","124771,161",14
26.9,"2847816,5992","2279684,9082","5214615,9693","2,08586049079895","1,462","124769,367",14
27.0,"2847816,8542","2279684,8342","5214616,1841","1,92139637470245","1,462","124767,908",14
27.1,"2847816,3288","2279685,0708","5214616,3672","2,0479953289032","1,462","124766,531",14
27.2,"2847816,1134","2279685,2669","5214616,5996","1,9423485994339","1,462","124765,198",14
27.3,"2847815,1557","2279685,5990","5214616,3713","1,84395980834961","1,462","124763,806",14
27.4,"2847814,9274","2279685,4618","5214615,8966","1,80769693851471","1,462","124761,762",14
27.5,"2847815,2682","2279685,6117","5214615,8498","1,81217241287231","1,462","124760,184",14
27.6,"2847816,4992","2279685,1068","5214615,8734","1,90714979171753","1,462","124758,286",14
27.7,"2847815,9069","2279684,5323","5214615,3920","2,19509863853455","1,462","124756,613",14
27.8,"2847816,5605","2279685,0791","5214615,5982","2,22387313842773","1,462","124755,263",14
